,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU
515,Ipanema,3,1,1,145,7200.0,2900.0,500.0
517,Urca,1,0,0,53,2800.0,770.0,0.0
518,Ipanema,3,1,1,116,5000.0,1600.0,316.0
519,Tijuca,3,1,0,116,2000.0,790.0,194.0
520,Vila Isabel,3,0,0,82,1200.0,664.0,86.0
522,Barra da Tijuca,3,2,1,130,4800.0,1700.0,433.0
523,Freguesia (Jacarepaguá),3,1,1,90,1700.0,595.0,0.0
524,Flamengo,2,1,0,68,2000.0,536.0,148.0
525,Copacabana,1,0,0,60,2800.0,620.0,128.0
527,Taquara,2,1,0,53,1100.0,450.0,150.0
528,Penha,2,0,0,64,950.0,180.0,0.0
529,Jardim Botânico,3,1,1,130,6400.0,1500.0,0.0
531,Leblon,2,1,0,90,3500.0,1300.0,200.0
532,Leblon,4,2,4,200,8500.0,2710.0,945.0
534,Tijuca,1,1,1,84,2000.0,718.0,120.0
537,Flamengo,1,0,0,30,1490.0,315.0,55.0
540,Maracanã,2,0,0,79,1700.0,600.0,0.0
541,Copacabana,1,1,0,150,3000.0,1200.0,390.0
544,Barra da Tijuca,3,2,3,156,5500.0,2300.0,398.0
547,Flamengo,1,0,1,38,1450.0,690.0,55.0
548,Botafogo,2,0,0,115,2200.0,1045.0,190.0
550,Tijuca,2,0,0,49,1800.0,180.0,0.0
552,Jacarepaguá,2,1,1,80,1900.0,1350.0,100.0
553,Copacabana,2,0,0,120,3800.0,1000.0,197.0
554,Barra da Tijuca,2,1,1,70,1800.0,681.0,120.0
557,Bonsucesso,3,1,0,98,2800.0,390.0,0.0
558,Barra da Tijuca,2,1,1,70,3240.0,950.0,0.0
559,Flamengo,2,1,0,90,3200.0,980.0,0.0
561,Ipanema,2,0,0,99,3300.0,920.0,0.0
563,Copacabana,3,1,0,80,3100.0,700.0,1208.0
564,Copacabana,2,1,0,74,2600.0,1021.0,0.0
565,Humaitá,2,1,0,75,2900.0,926.0,90.0
566,Barra da Tijuca,4,3,4,250,9500.0,2800.0,523.0
568,Recreio dos Bandeirantes,2,1,1,80,1600.0,770.0,108.0
569,Recreio dos Bandeirantes,3,4,1,217,3300.0,947.0,547.0
570,Ipanema,4,1,3,250,12000.0,2300.0,1037.0
572,São Conrado,3,2,1,140,4700.0,1620.0,515.0
573,Barra da Tijuca,4,3,2,260,7500.0,3550.0,350.0
574,Laranjeiras,2,0,0,85,2100.0,700.0,95.0
575,Rio Comprido,2,1,0,69,1900.0,600.0,70.0
576,Freguesia (Jacarepaguá),1,1,0,49,1050.0,580.0,36.0
577,Andaraí,2,1,0,56,1900.0,607.0,89.0
580,Ipanema,4,3,4,480,39000.0,9400.0,0.0
581,Barra da Tijuca,4,3,3,180,7000.0,1935.0,449.0
582,Copacabana,2,0,0,81,3000.0,770.0,159.0
583,Barra da Tijuca,2,1,1,88,2400.0,1313.0,0.0
585,Vargem Pequena,2,1,1,80,1100.0,650.0,0.0
587,Ipanema,3,3,3,169,9000.0,2300.0,886.0
588,Flamengo,4,2,2,423,12000.0,3795.0,1253.0
591,Quintino Bocaiúva,2,0,0,67,900.0,320.0,0.0
595,Leblon,3,1,0,74,3300.0,700.0,83.0
596,Copacabana,2,0,0,110,2800.0,800.0,120.0
597,Leme,1,0,0,31,1140.0,420.0,24.0
599,Recreio dos Bandeirantes,2,2,1,90,1500.0,720.0,199.0
603,Barra da Tijuca,2,1,0,70,2400.0,1800.0,150.0
605,Inhaúma,3,1,0,60,750.0,236.0,0.0
607,Glória,1,0,0,48,1400.0,480.0,20.0
608,Copacabana,5,1,1,400,8500.0,2160.0,365.0
609,Ipanema,2,1,0,45,3000.0,575.0,25.0
610,Pechincha,2,1,0,65,950.0,640.0,126.0
611,Leblon,2,0,0,100,3800.0,900.0,195.0
612,Grajaú,3,2,1,90,2950.0,700.0,100.0
615,Marechal Hermes,2,1,0,70,850.0,200.0,0.0
616,Grajaú,1,0,0,30,800.0,283.0,187.0
617,Praça Seca,2,1,1,63,1100.0,361.0,0.0
619,Barra da Tijuca,3,2,2,480,15000.0,2750.0,650.0
620,Recreio dos Bandeirantes,2,2,1,72,1580.0,900.0,140.0
621,Laranjeiras,2,0,0,51,1900.0,450.0,25.0
622,Botafogo,1,0,0,17,1100.0,330.0,15.0
623,Botafogo,3,0,0,100,6050.0,1155.0,234.0
624,Lagoa,2,1,1,90,2700.0,1350.0,250.0
626,Lagoa,3,3,3,230,6000.0,4600.0,990.0
627,Pechincha,2,1,1,62,1700.0,500.0,67.0
628,Leblon,2,2,1,113,3500.0,1365.0,387.0
629,Flamengo,1,0,0,49,1700.0,440.0,68.0
631,Méier,1,0,0,53,900.0,484.0,37.0
632,Vila Isabel,2,1,0,63,1300.0,500.0,0.0
639,Lagoa,3,3,1,250,11000.0,3500.0,889.0
640,Humaitá,3,1,0,95,2300.0,1300.0,120.0
641,Flamengo,1,0,0,37,2300.0,485.0,56.0
642,Curicica,1,1,0,45,700.0,356.0,126.0
643,Barra da Tijuca,2,1,0,90,2000.0,980.0,1600.0
645,Barra da Tijuca,1,1,1,80,1700.0,980.0,250.0
647,Barra da Tijuca,2,1,1,70,2200.0,1000.0,70.0
648,Barra da Tijuca,4,3,1,190,5500.0,1600.0,435.0
653,Copacabana,3,1,0,140,3500.0,1250.0,0.0
654,Tijuca,1,1,1,87,1400.0,1057.0,162.0
655,Barra da Tijuca,4,3,2,210,5300.0,2080.0,500.0
658,Méier,1,0,0,50,1000.0,390.0,16.0
660,Flamengo,4,1,0,240,6000.0,2050.0,701.0
661,Leblon,4,3,4,300,30000.0,4273.0,1557.0
662,Ipanema,3,1,1,140,7200.0,2900.0,500.0
664,Jardim Botânico,2,1,1,86,4100.0,830.0,257.0
665,Recreio dos Bandeirantes,4,3,4,203,6000.0,1200.0,420.0
666,Leblon,3,1,0,110,6200.0,885.0,0.0
669,Tijuca,2,1,0,60,1800.0,420.0,0.0
671,Barra da Tijuca,2,1,1,140,4500.0,910.0,420.0
672,Andaraí,1,0,1,30,1100.0,580.0,0.0
673,Pechincha,2,1,0,52,700.0,420.0,35.0
674,Recreio dos Bandeirantes,2,1,1,75,2300.0,1220.0,134.0
675,Freguesia (Jacarepaguá),2,1,0,55,1000.0,390.0,36.0
676,Água Santa,2,1,0,70,800.0,250.0,14.0
678,Lagoa,2,1,0,77,2700.0,1050.0,302.0
679,Copacabana,3,1,1,194,7500.0,1710.0,4641.0
681,Leblon,3,3,1,208,8000.0,1700.0,965.0
684,Gávea,3,1,2,220,7000.0,3200.0,450.0
686,Barra da Tijuca,3,2,1,204,4600.0,2321.0,489.0
687,Barra da Tijuca,3,1,3,80,2800.0,1300.0,0.0
688,Leblon,4,2,2,205,15000.0,6000.0,772.0
689,Barra da Tijuca,3,2,1,165,6500.0,1503.0,330.0
695,Leblon,3,2,1,140,4500.0,2552.0,595.0
696,Laranjeiras,3,1,1,150,3200.0,1504.0,301.0
697,Moneró,1,1,0,47,1200.0,290.0,49.0
698,Tijuca,2,1,0,70,1850.0,748.0,48.0
699,Leblon,2,1,1,82,5900.0,1128.0,300.0
700,Grajaú,2,0,0,70,1300.0,447.0,0.0
701,Recreio dos Bandeirantes,4,2,2,160,1900.0,830.0,0.0
702,Barra da Tijuca,4,4,4,330,20000.0,1800.0,10500.0
705,Barra da Tijuca,3,2,1,140,4900.0,1600.0,3580.0
709,Flamengo,2,1,1,60,3400.0,978.0,130.0
711,Itanhangá,2,1,1,58,900.0,500.0,212.0
713,Tijuca,3,1,1,106,2050.0,872.0,1008.0
715,Leme,1,0,0,55,2000.0,585.0,79.0
717,Ipanema,3,3,3,310,16000.0,3000.0,1100.0
718,Vila Isabel,2,1,1,79,1300.0,950.0,30.0
722,Barra da Tijuca,2,1,1,102,2500.0,1478.0,255.0
724,Copacabana,3,1,1,160,4000.0,1617.0,300.0
727,Copacabana,1,0,0,30,1200.0,650.0,54.0
728,Quintino Bocaiúva,2,0,0,80,900.0,170.0,0.0
729,Ipanema,3,1,0,80,4000.0,1200.0,251.0
730,Leblon,4,2,2,300,28000.0,3480.0,0.0
731,Freguesia (Jacarepaguá),3,1,1,77,2000.0,580.0,80.0
733,Jardim Botânico,3,2,2,145,4680.0,1296.0,317.0
735,Recreio dos Bandeirantes,3,2,1,185,2500.0,1355.0,2917.0
736,Barra da Tijuca,1,1,1,68,2800.0,1250.0,219.0
737,Jardim Botânico,2,2,1,83,3500.0,1630.0,196.0
739,Leblon,3,2,1,180,9500.0,2804.0,950.0
742,Copacabana,2,1,1,110,4000.0,1010.0,252.0
744,Botafogo,3,0,0,123,3200.0,421.0,182.0
747,Recreio dos Bandeirantes,3,3,1,180,1300.0,1635.0,320.0
750,Barra da Tijuca,3,2,3,120,2800.0,1280.0,360.0
751,Leblon,2,3,1,168,9000.0,2124.0,563.0
757,Barra da Tijuca,1,0,0,71,2100.0,1200.0,220.0
758,Tijuca,2,1,1,81,2350.0,849.0,80.0
759,Jacarepaguá,2,1,1,67,2000.0,636.0,75.0
760,Recreio dos Bandeirantes,3,3,3,200,3900.0,800.0,310.0
761,São Francisco Xavier,3,1,0,90,1900.0,210.0,160.0
762,Lagoa,2,1,1,56,3500.0,1490.0,323.0
763,Leblon,4,2,1,200,11500.0,3055.0,500.0
764,Recreio dos Bandeirantes,2,1,1,65,1800.0,680.0,100.0
766,Recreio dos Bandeirantes,2,1,1,70,1500.0,737.0,142.0
767,Tijuca,3,0,0,98,1700.0,390.0,93.0
768,Andaraí,2,0,0,66,700.0,900.0,46.0
769,Ipanema,3,2,1,200,6300.0,2200.0,400.0
770,Pechincha,2,1,0,60,900.0,420.0,15.0
772,Vila Valqueire,3,2,1,129,2200.0,755.0,195.0
773,Santa Teresa,2,0,0,65,1400.0,600.0,0.0
774,Leblon,4,2,2,230,17900.0,5000.0,1000.0
775,Gávea,3,1,1,138,7900.0,1900.0,3418.0
777,São Conrado,3,2,1,150,6500.0,1800.0,0.0
779,Jacarepaguá,4,2,2,155,3000.0,1664.0,309.0
780,Ipanema,3,1,0,130,8000.0,2000.0,480.0
781,Botafogo,3,1,1,123,4000.0,1188.0,221.0
