Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Tijuca;3;2;0;74;2500.0;713.0;95.0
Freguesia (Jacarepaguá);3;1;1;100;2500.0;912.0;132.0
Recreio dos Bandeirantes;3;3;1;300;2900.0;1000.0;784.0
Tijuca;3;0;0;120;1800.0;616.0;118.0
Recreio dos Bandeirantes;3;2;1;87;2600.0;777.0;224.0
Recreio dos Bandeirantes;3;1;1;76;1800.0;850.0;150.0
Recreio dos Bandeirantes;3;2;1;91;1900.0;1200.0;170.0
Recreio dos Bandeirantes;3;2;1;124;2300.0;750.0;250.0
Barra da Tijuca;3;1;1;92;2500.0;1200.0;1732.0
Recreio dos Bandeirantes;3;1;1;90;2000.0;800.0;257.0
Freguesia (Jacarepaguá);3;2;1;128;2800.0;1000.0;0.0
Leme;3;0;0;155;2800.0;1300.0;291.0
Ipanema;3;0;0;90;2600.0;1310.0;155.0
Recreio dos Bandeirantes;3;2;1;132;2500.0;673.0;0.0
Laranjeiras;3;0;0;111;2300.0;767.0;127.0
Recreio dos Bandeirantes;3;3;1;86;1500.0;916.0;180.0
Tijuca;3;0;0;120;2400.0;686.0;78.0
Jardim Botânico;3;0;0;85;2500.0;790.0;0.0
Tijuca;3;1;0;115;2250.0;1000.0;175.0
Freguesia (Jacarepaguá);3;2;1;132;1800.0;1100.0;100.0
Recreio dos Bandeirantes;3;1;1;96;2200.0;715.0;153.0
Recreio dos Bandeirantes;3;2;1;88;2500.0;900.0;600.0
Barra da Tijuca;3;1;2;97;2550.0;1306.0;256.0
Recreio dos Bandeirantes;3;2;3;91;2500.0;650.0;100.0
Copacabana;3;0;1;115;2900.0;950.0;102.0
Botafogo;3;0;0;157;2700.0;970.0;200.0
Barra da Tijuca;3;1;1;102;2500.0;1300.0;0.0
Tijuca;4;1;2;190;2000.0;1247.0;353.0
Recreio dos Bandeirantes;3;2;1;100;2100.0;500.0;0.0
Vila Isabel;3;1;0;80;1300.0;720.0;70.0
Tijuca;3;0;0;75;1500.0;877.0;36.0
Tijuca;3;0;0;75;2200.0;750.0;68.0
Vila Isabel;3;1;1;110;1800.0;835.0;99.0
Copacabana;3;1;1;110;2600.0;1100.0;150.0
Recreio dos Bandeirantes;3;2;1;110;1700.0;644.0;213.0
Rio Comprido;3;1;1;144;2499.0;100.0;125.0
Tijuca;3;2;0;74;2500.0;785.0;93.0
Bonsucesso;3;0;0;110;1500.0;420.0;268.0
Tijuca;3;1;1;150;2500.0;1200.0;175.0
Recreio dos Bandeirantes;3;2;1;170;2500.0;1017.0;280.0
Tijuca;3;1;0;100;1700.0;840.0;110.0
Recreio dos Bandeirantes;3;3;2;180;2700.0;760.0;450.0
Tijuca;3;1;0;90;2350.0;747.0;0.0
Maracanã;3;2;1;98;2100.0;910.0;180.0
Tijuca;3;1;1;90;2000.0;887.0;123.0
Recreio dos Bandeirantes;3;2;1;99;1900.0;1110.0;0.0
Recreio dos Bandeirantes;3;1;1;83;2300.0;1200.0;195.0
Tijuca;3;0;1;100;1800.0;850.0;130.0
Tijuca;3;1;1;96;1950.0;500.0;93.0
Pechincha;3;1;1;76;1450.0;652.0;742.0
Tijuca;3;0;0;105;2200.0;512.0;128.0
Recreio dos Bandeirantes;4;2;1;180;2700.0;900.0;0.0
Laranjeiras;3;1;0;130;2650.0;1010.0;214.0
Recreio dos Bandeirantes;3;2;1;85;2200.0;708.0;1352.0
Recreio dos Bandeirantes;3;1;1;80;2500.0;800.0;0.0
Recreio dos Bandeirantes;3;2;1;151;2000.0;1126.0;0.0
Freguesia (Jacarepaguá);3;2;2;166;2000.0;1618.0;222.0
Pechincha;3;1;1;90;1000.0;800.0;120.0
Botafogo;3;0;0;83;2800.0;294.0;110.0
Vila Isabel;3;1;1;89;2100.0;750.0;0.0
Recreio dos Bandeirantes;4;4;1;145;2000.0;1350.0;390.0
Copacabana;3;0;0;119;2500.0;1140.0;0.0
Freguesia (Jacarepaguá);3;1;1;71;1600.0;500.0;0.0
Tijuca;3;1;1;80;1750.0;850.0;125.0
Tijuca;3;1;1;85;2300.0;569.0;0.0
Jacarepaguá;4;2;3;245;2700.0;1380.0;145.0
Freguesia (Jacarepaguá);3;2;2;134;2500.0;1200.0;0.0
Recreio dos Bandeirantes;3;2;0;85;1800.0;924.0;155.0
Copacabana;3;1;0;100;2700.0;1079.0;129.0
Copacabana;3;0;0;110;2700.0;1000.0;25.0
Tijuca;3;0;0;85;1600.0;515.0;0.0
Recreio dos Bandeirantes;3;3;3;189;2500.0;922.0;420.0
Copacabana;3;1;0;110;2900.0;1365.0;160.0
Santa Teresa;3;0;0;83;1700.0;604.0;0.0
Maracanã;3;0;1;114;1900.0;570.0;87.0
Méier;3;1;0;85;1300.0;770.0;72.0
Recreio dos Bandeirantes;4;4;2;170;2600.0;1180.0;260.0
Tijuca;3;1;0;85;2200.0;850.0;92.0
Vila Isabel;3;2;1;100;1400.0;750.0;102.0
Tijuca;3;1;0;148;2500.0;1100.0;220.0
Jardim Guanabara;3;0;0;115;1800.0;470.0;0.0
Barra da Tijuca;3;2;3;100;1900.0;1498.0;127.0
Botafogo;3;1;0;109;2500.0;927.0;174.0
Barra da Tijuca;3;1;1;72;2000.0;630.0;0.0
Pechincha;3;1;1;85;1050.0;982.0;102.0
Barra da Tijuca;3;1;0;100;1800.0;1200.0;260.0
Tijuca;3;1;0;100;2500.0;1277.0;0.0
Freguesia (Jacarepaguá);4;0;2;112;2400.0;648.0;0.0
Tijuca;3;1;0;125;2500.0;1100.0;200.0
Barra da Tijuca;3;1;3;80;2750.0;1200.0;0.0
Laranjeiras;3;0;0;95;2500.0;575.0;93.0
Leme;3;0;0;135;2900.0;800.0;230.0
Méier;3;1;1;102;1900.0;890.0;135.0
Barra da Tijuca;3;1;1;100;2800.0;1485.0;257.0
Barra da Tijuca;3;2;2;96;1900.0;750.0;250.0
Jacarepaguá;3;1;1;100;2200.0;1200.0;189.0
Humaitá;3;0;1;100;2700.0;1560.0;105.0
Freguesia (Jacarepaguá);3;1;1;80;1500.0;680.0;159.0
Recreio dos Bandeirantes;3;1;1;105;2200.0;650.0;250.0
Barra da Tijuca;3;2;1;96;2800.0;1200.0;193.0
Barra da Tijuca;3;2;1;193;2500.0;3800.0;863.0
Recreio dos Bandeirantes;3;2;1;120;2000.0;700.0;2500.0
Freguesia (Jacarepaguá);3;2;1;95;2000.0;700.0;110.0
Vargem Pequena;3;1;1;78;1600.0;550.0;90.0
Engenho Novo;3;1;0;130;1300.0;700.0;0.0
Laranjeiras;3;1;1;90;2200.0;1294.0;0.0
Tijuca;3;1;0;72;1950.0;200.0;83.0
Copacabana;3;0;0;88;2900.0;713.0;171.0
Recreio dos Bandeirantes;3;2;1;163;2499.0;1456.0;403.0
Barra da Tijuca;3;1;1;74;1800.0;620.0;0.0
Campo Grande;3;2;1;143;2300.0;750.0;0.0
Méier;3;2;1;100;2700.0;826.0;16.0
Tijuca;3;1;0;170;2500.0;780.0;178.0
Jacarepaguá;3;0;0;200;1500.0;181.0;6.0
Tijuca;3;1;1;145;2800.0;1000.0;192.0
Recreio dos Bandeirantes;3;2;1;120;2300.0;711.0;221.0
Recreio dos Bandeirantes;3;2;2;177;2500.0;1500.0;413.0
Laranjeiras;3;1;0;135;2700.0;1513.0;251.0
Vargem Pequena;3;2;1;124;2500.0;700.0;0.0
Todos os Santos;3;1;1;75;1500.0;462.0;73.0
Tijuca;3;0;1;90;1500.0;935.0;97.0
Recreio dos Bandeirantes;3;1;1;83;1800.0;950.0;213.0
Tijuca;3;1;1;110;2900.0;1100.0;182.0
Recreio dos Bandeirantes;3;3;1;240;2899.0;1600.0;490.0
Copacabana;3;0;0;100;2500.0;1055.0;300.0
Tijuca;3;0;0;80;2500.0;450.0;65.0
Jardim Guanabara;3;1;1;140;2000.0;610.0;0.0
Jacarepaguá;3;1;1;82;2200.0;730.0;120.0
Recreio dos Bandeirantes;3;1;1;76;1800.0;850.0;120.0
Recreio dos Bandeirantes;3;2;1;90;1800.0;1222.0;158.0
São Conrado;3;2;1;115;2400.0;2000.0;180.0
Pechincha;3;1;1;73;1600.0;750.0;0.0
Recreio dos Bandeirantes;3;1;1;84;1800.0;850.0;150.0
Barra da Tijuca;3;2;1;89;1900.0;770.0;116.0
Barra da Tijuca;3;2;1;80;1690.0;1100.0;130.0
Recreio dos Bandeirantes;3;2;3;93;2500.0;470.0;0.0
Tijuca;3;1;1;160;2800.0;800.0;0.0
São Conrado;3;1;1;114;2400.0;1082.0;253.0
Copacabana;3;1;0;110;2500.0;1350.0;130.0
Leme;3;1;0;88;2000.0;391.0;56.0
Freguesia (Jacarepaguá);3;2;1;132;1900.0;1115.0;137.0
Copacabana;3;0;0;105;2600.0;1011.0;177.0
Méier;3;0;0;100;1500.0;100.0;0.0
Rocha;3;1;0;81;1400.0;655.0;16.0
Recreio dos Bandeirantes;3;2;1;74;1500.0;1071.0;163.0
Santa Teresa;3;0;0;149;2000.0;890.0;52.0
Barra da Tijuca;3;1;1;73;1700.0;616.0;29.0
Copacabana;3;1;0;92;2500.0;1100.0;110.0
Recreio dos Bandeirantes;3;2;1;121;2500.0;1123.0;0.0
Recreio dos Bandeirantes;3;3;1;140;2800.0;760.0;3500.0
Copacabana;3;1;1;92;2500.0;1100.0;1512.0
Recreio dos Bandeirantes;3;2;1;105;1800.0;650.0;0.0
Freguesia (Jacarepaguá);3;2;1;90;1900.0;1075.0;99.0
Ipanema;3;0;0;90;2500.0;1310.0;223.0
Flamengo;3;0;1;107;2800.0;1100.0;150.0
Piedade;3;0;0;75;950.0;87.0;14.0
Ipanema;3;0;0;90;2800.0;1400.0;180.0
Tijuca;3;0;1;126;2600.0;846.0;224.0
Barra da Tijuca;3;2;1;105;2800.0;1630.0;262.0
Vila Valqueire;3;1;1;146;2200.0;630.0;167.0
Recreio dos Bandeirantes;3;2;1;80;2300.0;350.0;0.0
Recreio dos Bandeirantes;3;2;1;109;2400.0;470.0;0.0
Catete;3;0;0;95;2200.0;1043.0;96.0
Tijuca;3;2;0;104;2500.0;1238.0;164.0
Recreio dos Bandeirantes;3;3;3;180;2800.0;1130.0;494.0
Flamengo;3;1;0;123;2800.0;942.0;173.0
Recreio dos Bandeirantes;3;1;1;80;2500.0;830.0;100.0
Recreio dos Bandeirantes;3;2;1;120;1900.0;670.0;315.0
Freguesia (Jacarepaguá);3;1;1;95;1600.0;840.0;226.0
Tijuca;3;1;0;95;2300.0;710.0;0.0
Recreio dos Bandeirantes;3;2;1;113;2500.0;560.0;243.0
Humaitá;3;1;0;90;2000.0;948.0;151.0
Tijuca;3;0;0;100;2200.0;600.0;0.0
Barra da Tijuca;3;1;1;76;1700.0;800.0;0.0
Barra da Tijuca;4;2;1;103;2700.0;1600.0;134.0
Vila Isabel;3;1;0;75;1600.0;774.0;0.0
Copacabana;3;1;0;86;2200.0;1360.0;176.0
Recreio dos Bandeirantes;3;2;1;75;2200.0;750.0;175.0
Grajaú;3;2;1;250;2700.0;930.0;0.0
Botafogo;3;2;1;120;2900.0;1839.0;355.0
Recreio dos Bandeirantes;3;2;3;198;1500.0;1571.0;400.0
Recreio dos Bandeirantes;3;1;1;102;2000.0;600.0;250.0
Barra da Tijuca;4;2;2;114;2000.0;1174.0;130.0
Botafogo;3;1;1;130;2600.0;1200.0;100.0
Barra da Tijuca;3;2;0;89;2150.0;1200.0;219.0
Santa Teresa;3;0;0;90;2700.0;365.0;10.0
Recreio dos Bandeirantes;3;2;2;110;2700.0;1300.0;250.0
Rocha Miranda;3;1;1;90;1200.0;250.0;0.0
Rio Comprido;3;1;1;79;2400.0;1095.0;0.0
Estácio;3;0;0;105;1900.0;677.0;0.0
Copacabana;3;0;1;73;2300.0;1188.0;131.0
Laranjeiras;3;0;1;118;2100.0;1627.0;203.0
Barra da Tijuca;4;2;1;148;2500.0;1900.0;238.0
Andaraí;3;0;0;110;1800.0;620.0;125.0
Vargem Pequena;3;0;1;79;1600.0;500.0;900.0
Tijuca;3;0;1;118;2500.0;840.0;0.0
Barra da Tijuca;4;2;1;105;2800.0;1050.0;2200.0
Recreio dos Bandeirantes;3;2;1;127;2500.0;1100.0;0.0
São Conrado;3;2;1;114;2200.0;1373.0;0.0
Copacabana;3;1;0;137;2100.0;905.0;207.0
Barra da Tijuca;3;2;1;90;2500.0;1770.0;3080.0
Copacabana;3;0;1;130;2500.0;1044.0;290.0
São Conrado;3;1;1;114;2250.0;1600.0;220.0
Freguesia (Jacarepaguá);3;1;1;84;1500.0;900.0;0.0
Copacabana;3;0;0;106;2800.0;910.0;210.0
Rio Comprido;3;1;0;90;1400.0;500.0;15.0
Laranjeiras;3;0;0;96;2600.0;700.0;0.0
Recreio dos Bandeirantes;3;1;1;80;1700.0;680.0;148.0
Tijuca;3;1;0;90;1300.0;670.0;0.0
Tijuca;3;0;0;119;1900.0;605.0;173.0
Tijuca;3;1;1;88;2200.0;871.0;0.0
Recreio dos Bandeirantes;3;2;1;112;2600.0;650.0;0.0
Recreio dos Bandeirantes;3;2;1;100;1800.0;650.0;0.0
Recreio dos Bandeirantes;3;2;1;100;1800.0;700.0;130.0
Recreio dos Bandeirantes;3;3;3;180;2650.0;1036.0;390.0
Tijuca;3;1;0;107;2100.0;480.0;0.0
Campo Grande;3;1;1;80;1200.0;600.0;11.0
Tijuca;3;1;1;130;2800.0;950.0;0.0
Recreio dos Bandeirantes;3;2;1;110;2500.0;620.0;0.0
Tijuca;3;1;0;89;2300.0;889.0;122.0
Campo Grande;4;2;1;115;1900.0;500.0;0.0
Tijuca;3;1;0;90;2100.0;987.0;0.0
Copacabana;3;1;0;101;2800.0;1480.0;220.0
Freguesia (Jacarepaguá);3;1;1;76;1500.0;680.0;73.0
Recreio dos Bandeirantes;3;3;1;130;1900.0;635.0;500.0
Barra da Tijuca;3;2;2;83;2400.0;610.0;1400.0
Recreio dos Bandeirantes;3;2;1;90;1700.0;520.0;0.0
Flamengo;3;0;0;140;2900.0;1150.0;279.0
Tijuca;3;0;0;84;1200.0;400.0;102.0
Freguesia (Jacarepaguá);3;1;1;90;1700.0;722.0;180.0
Recreio dos Bandeirantes;3;2;1;100;1800.0;865.0;110.0
Barra da Tijuca;3;2;1;145;2900.0;1800.0;350.0
Freguesia (Jacarepaguá);3;1;1;80;1800.0;600.0;100.0
Vila Valqueire;3;0;0;73;960.0;63.0;0.0
Ilha do Governador;3;1;1;100;1700.0;550.0;90.0
Rio Comprido;3;0;0;100;1600.0;300.0;60.0
Copacabana;3;1;0;122;2700.0;1402.0;187.0
Barra da Tijuca;3;2;1;122;2600.0;995.0;258.0
Recreio dos Bandeirantes;3;2;2;86;1900.0;779.0;121.0
Jacarepaguá;3;2;1;111;1300.0;1100.0;150.0
Laranjeiras;3;0;0;112;1900.0;995.0;171.0
Cachambi;3;1;1;74;1500.0;577.0;0.0
Recreio dos Bandeirantes;3;2;1;76;2350.0;537.0;154.0
Tijuca;3;2;1;110;2300.0;1200.0;170.0
Freguesia (Jacarepaguá);4;2;1;127;2300.0;993.0;211.0
Tijuca;3;1;1;110;2800.0;763.0;0.0
Méier;3;1;1;104;1400.0;900.0;0.0
Freguesia (Jacarepaguá);3;2;1;110;2200.0;900.0;150.0
Laranjeiras;3;1;1;130;2800.0;1500.0;200.0
Camorim;3;2;1;75;1700.0;650.0;80.0
Tanque;3;1;1;73;1300.0;765.0;76.0
Recreio dos Bandeirantes;3;2;1;89;2500.0;700.0;190.0
Engenho Novo;3;0;0;100;1400.0;250.0;0.0
Recreio dos Bandeirantes;4;2;1;105;1900.0;1492.0;205.0
Copacabana;3;1;0;75;2400.0;750.0;174.0
Laranjeiras;3;2;1;117;2800.0;978.0;205.0
Freguesia (Jacarepaguá);4;2;1;218;2500.0;1205.0;320.0
Recreio dos Bandeirantes;3;2;1;95;1600.0;550.0;165.0
Catete;3;0;0;100;2200.0;720.0;193.0
Freguesia (Jacarepaguá);3;1;2;93;2100.0;900.0;0.0
Copacabana;3;0;0;75;2800.0;1090.0;0.0
Barra da Tijuca;4;2;2;118;2900.0;1000.0;200.0
Taquara;3;1;1;74;950.0;672.0;15.0
Copacabana;3;1;0;134;2300.0;2000.0;0.0
Barra da Tijuca;3;2;1;118;2000.0;1750.0;150.0
Recreio dos Bandeirantes;3;2;1;90;1700.0;450.0;0.0
Freguesia (Jacarepaguá);3;1;1;128;2800.0;900.0;200.0
Tijuca;3;1;1;81;2000.0;600.0;89.0
Recreio dos Bandeirantes;3;3;1;170;2000.0;950.0;330.0
Recreio dos Bandeirantes;3;1;1;81;2600.0;600.0;145.0
Freguesia (Jacarepaguá);3;1;1;84;1300.0;900.0;0.0
Barra da Tijuca;3;2;1;110;2800.0;1688.0;288.0
Tijuca;3;1;0;111;2700.0;680.0;130.0
Recreio dos Bandeirantes;3;2;1;85;2200.0;772.0;0.0
Barra da Tijuca;4;2;2;146;2900.0;1950.0;260.0
Barra da Tijuca;3;2;1;72;2700.0;660.0;90.0
Recreio dos Bandeirantes;3;2;1;150;2500.0;1000.0;10.0
Recreio dos Bandeirantes;4;2;1;180;2900.0;977.0;41.0
Copacabana;3;1;1;240;2600.0;944.0;517.0
Recreio dos Bandeirantes;3;1;2;81;1800.0;1098.0;1910.0
São Cristóvão;4;1;1;150;2500.0;700.0;68.0
